Name;Country 1;Country 2;Country 3;Country 4
Rudolph Sze;China;USA;;
József Szén;Hungary;;;
József Szily;Hungary;;;
Jorge Szmetan;Argentina;;;
Aleksander Sznapik;Poland;;;
Abram Szpiro;Germany;Poland;;
Mark Taimanov;Ukraine;Russia;;
Sándor Takács;Hungary;;;
Mikhail Tal;Latvia;;;
Tan Chengxuan;China;;;
Hiong Liong Tan;Indonesia;Netherlands;;
Lian Ann Tan;Singapore;;;
László Tapasztó;Hungary;Venezuela;USA;
James Tarjan;USA;;;
Siegbert Tarrasch;Germany;;;
Savielly Tartakower;Austria/Poland;France;;
Jean Taubenhaus;Poland;France;;
Lev Taussig;Czechoslovakia;;;
Povilas Tautvaišas;Lithuania;USA;;
Jan Willem te Kolsté;Netherlands;;;
Richard Teichmann;Germany;;;
Oscar Tenner;Germany;USA;;
Rudolf Teschner;Germany;;;
Vitaly Teterev;Belarus;;;
Praveen Thipsay;India;;;
Murugan Thiruchelvam;England;;;
George Alan Thomas;Turkey;England;;
James Thompson;England;USA;;
Theophilus Thompson;USA;;;
Tian Tian;China;;;
Viktor Tietz;Czechoslovakia;;;
Hans Tikkanen;Sweden;;;
Jan Timman;Netherlands;;;
Gert Jan Timmerman;Netherlands;;;
Artyom Timofeev;Russia;;;
Sergei Tiviakov;Russia;Netherlands;;
Jonathan Tisdall;USA;Norway;;
Vladislav Tkachiev;Russia;Kazakhstan;France;
Miodrag Todorcevic;Serbia;France;;
Alexander Tolush;Russia;;;
Evgeny Tomashevsky;Russia;;;
Vasilije Tomović;Montenegro;;;
Tong Yuanming;China;;;
Alice Tonini;Italy;;;
Veselin Topalov;Bulgaria;;;
Eugenio Torre;Philippines;;;
Carlos Torre Repetto;México;;;
Yury Toshev;Bulgaria;;;
Izaak Towbin;Ukraine;Poland;;
Karel Traxler;Czechoslovakia;;;
Herbert William Trenchard;England;;;
František Treybal;Czechoslovakia;;;
Karel Treybal;Czechoslovakia;;;
George Treysman;USA;;;
Petar Trifunović;Croatia;Serbia;;
Georgi Tringov;Bulgaria;;;
Paul Truong;Vietnam;USA;;
Anatol Tschepurnoff;Finland;;;
Mark Tseitlin;Russia;Israel;;
Mikhail Tseitlin;Belarus;Russia;;
Vitaly Tseshkovsky;Russia;;;
Alexander Tsvetkov;Bulgaria;;;
Leon TuhanBaranowski;Poland;Germany;;
Vladimir Tukmakov;Ukraine;;;
Myroslav Turiansky;Ukraine;USA;;
Johannes Türn;Estonia;;;
Abe Turner;USA;;;
Maxim Turov;Russia;;;
Isador Samuel Turover;Belgium;USA;;
Theodore Tylor;England;;;
Dimitri Tyomkin;Canada;;;
Alexandru Tyroler;Romania;;;
Louis Uedemann;USA;;;
Shinsaku Uesugi;Japan;;;
Wolfgang Uhlmann;Germany;;;
Tüdeviin Üitümen;Mongolia;;;
Maximilian Ujtelky;Hungary/Slovakia;;;
Mikhail Ulibin;Russia;;;
Mikhail Umansky;Russia;;;
Wolfgang Unzicker;Germany;;;
Anna Ushenina;Ukraine;;;
Maxime VachierLagrave;France;;;
Rafael Vaganian;Armenia;;;
Samuil Vainshtein;Russia;;;
Anatoly Vaisser;Kazakhstan;France;;
Povilas Vaitonis;Lithuania;Canada;;
Árpád Vajda;Hungary;;;
Francisco Vallejo Pons;Spain;;;
Michael Valvo;USA;;;
Cyril Vansittart;England;Italy;;
Zoltán Varga;Hungary;;;
Egon Varnusz;Hungary;;;
Evgeni Vasiukov;Russia;;;
Petar Velikov;Bulgaria;;;
Dragoljub Velimirović;Serbia;;;
Gavriil Veresov;Russia;;;
Beniamino Vergani;Italy;;;
Giovanni Vescovi;Brazil;;;
Boris Verlinsky;Ukraine;Russia;;
Milan Vidmar;Slovenia;;;
Milan Vidmar;Jr.;Slovenia;;
Subbaraman Vijayalakshmi;India;;;
Benito Villegas;;Argentina;;
Yakov Vilner;Ukraine;;;
William Samuel Viner;Australia;;;
Isakas Vistaneckis;Lithuania;Israel;;
Nikita Vitiugov;Russia;;;
Alvis Vitolinš;Latvia;;;
Evgeny Vladimirov;Kazakhstan;;;
Louis van Vliet;Netherlands;;;
Erwin Voellmy;Switzerland;;;
Sergey Volkov;Russia;;;
Andrei Volokitin;Ukraine;;;
Larisa Volpert;Russia;;;
Andrey Vovk;Ukraine;;;
Yuri Vovk;Ukraine;;;
Zvonko Vranesic;Croatia;Canada;;
Milan Vukcevich;Serbia;USA;;
Milan Vukić;Serbia;Bosnia;;
Vladimir Vuković;Croatia;;;
Konstantin Vygodchikov;Belarus;Russia;;
Alexey Vyzmanavin;Russia;;;
Robert Wade;New Zealand;England;;
Alexander Wagner;Poland;;;
Heinrich Wagner;Germany;;;
Victor Wahltuch;England;;;
Josh Waitzkin;United States;;;
Carl August Walbrodt;Netherlands;Germany;;
George Walker;England;;;
Max Walter;Slovakia;;;
Wang Hao;China;;;
Wang Lei;China;;;
Wang Pin;China;;;
Wang Puchen;China;New Zealand;;
Wang Rui;China;;;
Wang Yu;China;;;
Wang Yue;China;;;
Chris Ward;England;;;
Preston Ware;USA;;;
Cathy Warwick;England;;;
Miyoko Watai;Japan;;;
John L. Watson;USA;;;
William Watson;England;;;
William Wayte;England;;;
Simon Webb;England;;;
Tom Wedberg;Sweden;;;
Henri Weenink;Netherlands;;;
Otto Wegemund;Germany;;;
Wolfgang Weil;Austria;;;
Max Weiss;Hungary;Austria;;
Peter Wells;England;;;
Loek van Wely;Netherlands;;;
Carl Wemmers;Germany;;;
Wen Yang;China;;;
Jan Werle;Netherlands;;;
Guy West;Australia;;;
Heikki Westerinen;Finland;;;
Bernardo Wexler;Romania;Argentina;;
Kasimir de Weydlich;Poland;;;
Norman Tweed Whitaker;USA;;;
Michael Wiedenkeller;Sweden;;;
John van der Wiel;Netherlands;;;
Arthur Wijnans;Indonesia;Netherlands;;
Elijah Williams;England;;;
Szymon Winawer;Poland;;;
Karl Gottlieb von Windisch;Slovakia;Hungary;Austria;
Peter Winston;USA;;;
William Winter;England;;;
Victor Winz;Germany;Israel;Argentina;
John Wisker;England;;;
Alexander Wittek;Croatia;Austria;;
Aleksandar Wohl;Australia;;;
Antoni Wojciechowski;Poland;;;
Radosław Wojtaszek;Poland;;;
Aleksander Wojtkiewicz;Latvia;Poland;USA;
Heinrich Wolf;Austria;;;
Siegfried Reginald Wolf;Austria;Israel;;
Paula WolfKalmar;Austria;;;
Balduin Wolff;Germany;;;
Patrick Wolff;USA;;;
Wong Meng Kong;Singapore;;;
Baruch Harold Wood;England;;;
Wu Mingqian;China;;;
Wu Shaobin;Singapore;;;
Wu Wenjin;China;;;
Marmaduke Wyvill;England;;;
Xie Jun;China;;;
Xu Jun;China;;;
Xu Yuanyuan;China;;;
Xu Yuhua;China;;;
Yuri Yakovich;Russia;;;
Daniel Yanofsky;Poland;Canada;;
Frederick Yates;England;;;
Ye Jiangchuan;China;;;
Ye Rongguang;China;;;
Olavo Yépez;Ecuador;;;
Trotzky Yepez;Ecuador;;;
Alex Yermolinsky;USA;;;
Betul Cemre Yildiz;Turkey;;;
Yin Hao;China;;;
Yu Shaoteng;China;;;
Leonid Yudasin;Russia;Israel;;
Mikhail Yudovich;Russia;;;
Peter Yurdansky;Russia;;;
Artur Yusupov;Russia;Germany;;
Józef Żabiński;Poland;;;
Aron Zabłudowski;Poland;;;
Aldo Zadrima;Albania;;;
Vladimir Zagorovsky;Russia;;;
Sergey Zagrebelny;Uzbekistan;;;
Alexander Zaitsev;Russia;;;
Igor Zaitsev;Russia;;;
Lazar Zalkind;Ukraine;;;
Oswaldo Zambrana;Bolivia;;;
Abram Zamikhovsky;Ukraine;;;
Alonso Zapata;Colombia;;;
Pablo Zarnicki;Argentina;;;
Anna Zatonskih;Ukraine;USA;;
Tatiana Zatulovskaya;Azerbaijan;Russia;Israel;
Jolanta Zawadzka;Poland;;;
Elmārs Zemgalis;Latvia;USA;;
Zhang Jilin;China;;;
Zhang Pengxiang;China;;;
Zhang Weida;China;;;
Zhang Xiaowen;China;;;
Zhang Zhong;China;Singapore;;
Zhao Jun;China;;;
Zhao Lan;China;;;
Zhao Xue;China;;;
Zhao ZongYuan;China;Australia;;
Peng Zhaoqin;China;;;
Viktor Zheliandinov;Ukraine;;;
Zhou Jianchao;China;;;
Zhou Weiqi;China;;;
Zhu Chen;China;;;
Natalia Zhukova;Ukraine;;;
Yaacov Zilberman;Israel;;;
Otto Zimmermann;Switzerland;;;
Adolf Zinkl;Bohemia;Austria;;
Emil Zinner;Czechoslovakia;;;
František Zíta;Czechoslovakia;;;
Eugene ZnoskoBorovsky;Russia;France;;
Leo Zobel;Slovakia;;;
Alexander Zubarev;Ukraine;;;
Nikolai Zubarev;Russia;;;
Bernard Zuckerman;USA;;;
Johannes Zukertort;Poland;Germany;England;
Vadim Zvjaginsev;Russia;;;
Kira Zvorykina;Ukraine;Russia;Belarus;Bulgaria
Adolf Zytogorski;Poland;England;;
Lajos Asztalos;Austria;Hungary;Yugoslavia;Hungary
